name,location,type,area
About Thyme,Westlands,Restaurant,Nairobi
Afghan House,Karen,Restaurant,Nairobi
Asian Gardens,Gigiri,Restaurant,Nairobi
Big Elephant,Parklands,Restaurant,Nairobi
Cake Tale,Online,Restaurant,Nairobi
Carnivore,Langata,Restaurant,Nairobi
Cheers,Parklands,Restaurant,Nairobi
Cherry Blossom,Online,Restaurant,Nairobi
Clay Oven,Westlands,Restaurant,Nairobi
Debonairs Pizza,,Restaurant,Nairobi
Haru Restaraunt,Karen,Restaurant,Nairobi
Khazanah,Gigiri,Restaurant,Nairobi
Kilele,Westlands,Restaurant,Nairobi
Little Cake Girl,Kiambu Road,Restaurant,Nairobi
Mister Wok,Parklands,Restaurant,Nairobi
Mister Wok,Two Rivers,Restaurant,Nairobi
Mister Wok,Mombasa Road,Restaurant,Nairobi
Moca Loca,Thika Road,Restaurant,Nairobi
Muna Tree,Limuru,Restaurant,Nairobi
Ocean Basket ,,Restaurant,Nairobi
Palm Cafe,Aboretum,Restaurant,Nairobi
Pampa,Lavington,Restaurant,Nairobi
Pete's,Ngong Road,Restaurant,Nairobi
Picazzo,Karen ,Restaurant,Nairobi
Que Pasa,Karen,Restaurant,Nairobi
Rue 104,Town,Restaurant,Nairobi
Thai Village,Gigiri,Restaurant,Nairobi
The Arbor,Lavington,Restaurant,Nairobi
The Concord,Parklands,Restaurant,Nairobi
The Grove,Riverside,Restaurant,Nairobi
The Mayura,Karen,Restaurant,Nairobi
The Mayura,Westlands,Restaurant,Nairobi
The Node,Westlands,Restaurant,Nairobi
Tin Roof Cafe,Karen,Restaurant,Nairobi
Utamu,Westlands,Restaurant,Nairobi
Wasp and Sprout,Loresho,Restaurant,Nairobi
Wildly Coffee,Langata,Restaurant,Nairobi
Wing it,,Restaurant,Nairobi
Amandina ,Watamu,Hotel,Outside Nairobi
Bliss Spa,Naivasha,Hotel,Outside Nairobi
Brakenhurst,Limuru,Hotel,Outside Nairobi
Diani Reef,Diani,Hotel,Outside Nairobi
Fairview Estate,Kiambu,Hotel,Outside Nairobi
Leopard Beach ,Diani,Hotel,Outside Nairobi
Leopard Beach Chui,Diani,Hotel,Outside Nairobi
Leopard Beach Spa,Diani,Hotel,Outside Nairobi
Maya Spa,Diani,Hotel,Outside Nairobi
Maya Spa,Diani,Hotel,Outside Nairobi
Medina Palms,Watamu,Hotel,Outside Nairobi
Mister Wok,Nanyuki,Hotel,Outside Nairobi
Moca Loca,Nakuru,Hotel,Outside Nairobi
Ol Moran,Masai Mara,Hotel,Outside Nairobi
Pelican Lodge ,Nakuru,Hotel,Outside Nairobi
Pelican Lodge Restaurant,Nakuru,Hotel,Outside Nairobi
Sake Restaurant,Diani,Hotel,Outside Nairobi
Sakina Spa,Watamu,Hotel,Outside Nairobi
The Painted Dog,Nanyuki,Hotel,Outside Nairobi
Turtle Bay,Watamu,Hotel,Outside Nairobi
Born to be Unstoppable,Online,Hotel,Nairobi
Extreme Clean,,Hotel,Nairobi
Heri Heights Hotel,Aboretum,Hotel,Nairobi
Ibis Styles Hotel,Westlands,Hotel,Nairobi
Ideas Unplugged,,Hotel,Nairobi
Skylax Tours,,Hotel,Nairobi
Slik King Tours,,Hotel,Nairobi
Divine Skincare,Lavington,Spas and Salons,Nairobi
Divine Skincare,Thika Road,Spas and Salons,Nairobi
Divine Skincare,Gigiri,Spas and Salons,Nairobi
D'vine,Lavington,Spas and Salons,Nairobi
D'vine,Thika Road,Spas and Salons,Nairobi
D'vine,Gigiri,Spas and Salons,Nairobi
Elizabeth Beauty Spot,Karen,Spas and Salons,Nairobi
Euphoria,Lavington,Spas and Salons,Nairobi
Healthland Spa,Ngong Road,Spas and Salons,Nairobi
Leo's,Westlands,Spas and Salons,Nairobi
Rienna,Thika Road,Spas and Salons,Nairobi
Solace Resort,,Spas and Salons,Nairobi
Timeless,Lavington,Spas and Salons,Nairobi
Urban Hair Salon,CBD,Spas and Salons,Nairobi